CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
11592,CS,120G,INTRO INFO LITERACY & RESEARCH,3, 420- 535PM,MW,"ZEIL,S"
11594,CS,120G,INTRO INFORMATION LIT RECITATI,0,1100-1150AM,W,"ZEIL,S"
11595,CS,120G,INTRO INFORMATION LIT RECITATI,0, 300- 350PM,M,"ZEIL,S"
11762,CS,120G,INTRO INFORMATION LIT RECITATI,0, 420- 510PM,T,"ZEIL,S"
13585,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,"ZEIL,S"
13586,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,"ZEIL,S"
13587,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,"ZEIL,S"
13588,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,"ZEIL,S"
13591,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,"ZEIL,S"
13592,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,"ZEIL,S"
13593,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,"ZEIL,S"
13594,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,"ZEIL,S"
13595,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,"ZEIL,S"
13598,CS,120G,INTRO INFO LITERACY & RSCH (B),3,HOURS ARR,,"ZEIL,S"
13602,CS,120G,INTRO INFO LITERACY & RSCH (B),3,HOURS ARR,,"ZEIL,S"
13603,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,T,"ZEIL,S"
13605,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,T,"ZEIL,S"
13606,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,W,"ZEIL,S"
13608,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,W,"ZEIL,S"
16847,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,"ZEIL,S"
18910,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,"ZEIL,S"
18911,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,"ZEIL,S"
18912,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,"ZEIL,S"
18914,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,"ZEIL,S"
18915,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,"ZEIL,S"
18916,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,"ZEIL,S"
18917,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,"ZEIL,S"
18919,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,"ZEIL,S"
18920,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,"ZEIL,S"
23609,CS,120G,INTRO INFO LITERACY & RESEARCH,0,1100-1150AM,W,"ZEIL,S"
11596,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 710- 825PM,MW,"ZEIL,S"
11612,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,W,"ZEIL,S"
11613,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1000-1050AM,W,"ZEIL,S"
11791,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 545- 700PM,MW,"ZEIL,S"
11792,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 930-1020AM,T,"ZEIL,S"
11793,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,M,"ZEIL,S"
11915,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1100-1150AM,M,"ZEIL,S"
12230,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 545- 635PM,F,"ZEIL,S"
13609,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,"ZEIL,S"
13610,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,"ZEIL,S"
13611,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,"ZEIL,S"
13612,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,"ZEIL,S"
13613,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,"ZEIL,S"
13614,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,"ZEIL,S"
13615,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,"ZEIL,S"
13616,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,"ZEIL,S"
13617,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,"ZEIL,S"
13648,CS,121G,INTRO INFO LIT & RSCH SCI (D),3,HOURS ARR,,"ZEIL,S"
13654,CS,121G,INTRO INFO LIT & RSCH SCI (D),3,HOURS ARR,,"ZEIL,S"
13657,CS,121G,INTRO INFO LIT & RSCH REC (D),0,1200-1250PM,M,"ZEIL,S"
