CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
11592,CS,120G,INTRO INFO LITERACY & RESEARCH,3, 420- 535PM,MW,fac2
11594,CS,120G,INTRO INFORMATION LIT RECITATI,0,1100-1150AM,W,fac3
11595,CS,120G,INTRO INFORMATION LIT RECITATI,0, 300- 350PM,M,fac4
11762,CS,120G,INTRO INFORMATION LIT RECITATI,0, 420- 510PM,T,fac5
13585,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,fac6
13586,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,fac7
13587,CS,120G,INTRO INFO LITERACY & RSCH (A),3,HOURS ARR,,fac8
13588,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,fac9
13591,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,fac10
13592,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,T,fac11
13593,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,fac12
13594,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,fac13
13595,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,fac14
13598,CS,120G,INTRO INFO LITERACY & RSCH (B),3,HOURS ARR,,fac15
13602,CS,120G,INTRO INFO LITERACY & RSCH (B),3,HOURS ARR,,fac16
13603,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,T,fac17
13605,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,T,fac18
13606,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,W,fac19
13608,CS,120G,INTRO INFO LIT & RSCH REC (B),0, 710- 800PM,W,fac20
16847,CS,120G,INTRO INFO LIT & RSCH REC (A),0, 545- 635PM,R,fac21
18910,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,fac22
18911,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,fac23
18912,CS,120G,INTRO INFO LITERACY & RESEARCH,3,HOURS ARR,,fac24
18914,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,fac25
18915,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,fac26
18916,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 545- 635PM,W,fac27
18917,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,fac28
18919,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,fac29
18920,CS,120G,INTRO INFO LIT & RSCH REC (C),0, 900- 950AM,F,fac30
23609,CS,120G,INTRO INFO LITERACY & RESEARCH,0,1100-1150AM,W,fac31
11596,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 710- 825PM,MW,fac32
11612,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,W,fac33
11613,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1000-1050AM,W,fac34
11791,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 545- 700PM,MW,fac35
11792,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 930-1020AM,T,fac36
11793,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,M,fac37
11915,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1100-1150AM,M,fac38
12230,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 545- 635PM,F,fac39
13609,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,fac40
13610,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,fac41
13611,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,fac42
13612,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,fac43
13613,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,fac44
13614,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,fac45
13615,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,fac46
13616,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,fac47
13617,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,fac48
13648,CS,121G,INTRO INFO LIT & RSCH SCI (D),3,HOURS ARR,,fac49
13654,CS,121G,INTRO INFO LIT & RSCH SCI (D),3,HOURS ARR,,fac50
13657,CS,121G,INTRO INFO LIT & RSCH REC (D),0,1200-1250PM,M,fac51
13661,CS,121G,INTRO INFO LIT & RSCH REC (D),0,1200-1250PM,M,fac52
13666,CS,121G,INTRO INFO LIT & RSCH REC (D),0,1200-1250PM,W,fac53
13668,CS,121G,INTRO INFO LIT & RSCH REC (D),0,1200-1250PM,W,fac54
13751,CS,121G,INTRO INFO LIT & RSCH SCI (E),3,HOURS ARR,,fac55
13752,CS,121G,INTRO INFO LIT & RSCH SCI (E),3,HOURS ARR,,fac56
13753,CS,121G,INTRO INFO LIT & RSCH SCI (E),3,HOURS ARR,,fac57
13754,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,T,fac58
13755,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,T,fac59
13756,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,T,fac60
13757,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,fac61
13758,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,fac62
13759,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,fac63
16740,CS,121G,INTRO INFO LIT & RSCH SCI (E),3,HOURS ARR,,fac64
16741,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,T,fac65
16742,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,fac66
16851,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,fac67
16852,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,fac68
16853,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,fac69
23619,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 710- 825PM,MW,fac70
23621,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,W,fac71
23622,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1000-1050AM,W,fac72
23624,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 930-1020AM,T,fac73
23625,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,M,fac74
23626,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1100-1150AM,M,fac75
23627,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 545- 635PM,F,fac76
15892,CS,129,TCCK-PBLM SOLVING & PRGMNG I,4,HOURS ARR,,fac77
18918,CS,129,TNCC-INTRO TO COMPUTER SCIENCE,3,HOURS ARR,,fac78
20679,CS,129,TCCV-C++ PROGRAMMING I,4,HOURS ARR,,fac79
10253,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,fac80
10254,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,fac81
10255,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,fac82
10256,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,fac83
10257,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,fac84
10258,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,fac85
10259,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,fac86
10260,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,fac87
11351,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,fac88
